DataID,PassagierId,Überlebt,Beförderungsklasse,Geschlecht,Alter,Anzahl der Geschwister oder Ehepartner,Anzahl der Eltern oder Kinder,Ticketpreis
203,204,0,3,male,45.5,0,0,7.225
204,205,1,3,male,18.0,0,0,8.05
205,206,0,3,female,2.0,0,1,10.4625
206,207,0,3,male,32.0,1,0,15.85
207,208,1,3,male,26.0,0,0,18.7875
208,209,1,3,female,16.0,0,0,7.75
209,210,1,1,male,40.0,0,0,31.0
210,211,0,3,male,24.0,0,0,7.05
211,212,1,2,female,35.0,0,0,21.0
212,213,0,3,male,22.0,0,0,7.25
213,214,0,2,male,30.0,0,0,13.0
214,215,0,3,male,,1,0,7.75
215,216,1,1,female,31.0,1,0,113.275
216,217,1,3,female,27.0,0,0,7.925
217,218,0,2,male,42.0,1,0,27.0
218,219,1,1,female,32.0,0,0,76.2917
219,220,0,2,male,30.0,0,0,10.5
220,221,1,3,male,16.0,0,0,8.05
221,222,0,2,male,27.0,0,0,13.0
222,223,0,3,male,51.0,0,0,8.05
223,224,0,3,male,,0,0,7.8958
224,225,1,1,male,38.0,1,0,90.0
225,226,0,3,male,22.0,0,0,9.35
226,227,1,2,male,19.0,0,0,10.5
227,228,0,3,male,20.5,0,0,7.25
228,229,0,2,male,18.0,0,0,13.0
229,230,0,3,female,,3,1,25.4667
230,231,1,1,female,35.0,1,0,83.475
231,232,0,3,male,29.0,0,0,7.775
232,233,0,2,male,59.0,0,0,13.5
233,234,1,3,female,5.0,4,2,31.3875
234,235,0,2,male,24.0,0,0,10.5
235,236,0,3,female,,0,0,7.55
236,237,0,2,male,44.0,1,0,26.0
237,238,1,2,female,8.0,0,2,26.25
238,239,0,2,male,19.0,0,0,10.5
239,240,0,2,male,33.0,0,0,12.275
240,241,0,3,female,,1,0,14.4542
241,242,1,3,female,,1,0,15.5
242,243,0,2,male,29.0,0,0,10.5
243,244,0,3,male,22.0,0,0,7.125
244,245,0,3,male,30.0,0,0,7.225
245,246,0,1,male,44.0,2,0,90.0
246,247,0,3,female,25.0,0,0,7.775
247,248,1,2,female,24.0,0,2,14.5
248,249,1,1,male,37.0,1,1,52.5542
249,250,0,2,male,54.0,1,0,26.0
250,251,0,3,male,,0,0,7.25
251,252,0,3,female,29.0,1,1,10.4625
252,253,0,1,male,62.0,0,0,26.55
253,254,0,3,male,30.0,1,0,16.1
254,255,0,3,female,41.0,0,2,20.2125
255,256,1,3,female,29.0,0,2,15.2458
256,257,1,1,female,,0,0,79.2
257,258,1,1,female,30.0,0,0,86.5
258,259,1,1,female,35.0,0,0,512.3292
259,260,1,2,female,50.0,0,1,26.0
260,261,0,3,male,,0,0,7.75
261,262,1,3,male,3.0,4,2,31.3875
262,263,0,1,male,52.0,1,1,79.65
263,264,0,1,male,40.0,0,0,0.0
264,265,0,3,female,,0,0,7.75
265,266,0,2,male,36.0,0,0,10.5
266,267,0,3,male,16.0,4,1,39.6875
267,268,1,3,male,25.0,1,0,7.775
268,269,1,1,female,58.0,0,1,153.4625
269,270,1,1,female,35.0,0,0,135.6333
270,271,0,1,male,,0,0,31.0
271,272,1,3,male,25.0,0,0,0.0
272,273,1,2,female,41.0,0,1,19.5
273,274,0,1,male,37.0,0,1,29.7
274,275,1,3,female,,0,0,7.75
275,276,1,1,female,63.0,1,0,77.9583
276,277,0,3,female,45.0,0,0,7.75
277,278,0,2,male,,0,0,0.0
278,279,0,3,male,7.0,4,1,29.125
279,280,1,3,female,35.0,1,1,20.25
280,281,0,3,male,65.0,0,0,7.75
281,282,0,3,male,28.0,0,0,7.8542
282,283,0,3,male,16.0,0,0,9.5
283,284,1,3,male,19.0,0,0,8.05
284,285,0,1,male,,0,0,26.0
285,286,0,3,male,33.0,0,0,8.6625
286,287,1,3,male,30.0,0,0,9.5
287,288,0,3,male,22.0,0,0,7.8958
288,289,1,2,male,42.0,0,0,13.0
289,290,1,3,female,22.0,0,0,7.75
290,291,1,1,female,26.0,0,0,78.85
291,292,1,1,female,19.0,1,0,91.0792
292,293,0,2,male,36.0,0,0,12.875
293,294,0,3,female,24.0,0,0,8.85
294,295,0,3,male,24.0,0,0,7.8958
295,296,0,1,male,,0,0,27.7208
296,297,0,3,male,23.5,0,0,7.2292
297,298,0,1,female,2.0,1,2,151.55
298,299,1,1,male,,0,0,30.5
299,300,1,1,female,50.0,0,1,247.5208
300,301,1,3,female,,0,0,7.75
301,302,1,3,male,,2,0,23.25
302,303,0,3,male,19.0,0,0,0.0
303,304,1,2,female,,0,0,12.35
304,305,0,3,male,,0,0,8.05
305,306,1,1,male,0.92,1,2,151.55
306,307,1,1,female,,0,0,110.8833
307,308,1,1,female,17.0,1,0,108.9
308,309,0,2,male,30.0,1,0,24.0
309,310,1,1,female,30.0,0,0,56.9292
310,311,1,1,female,24.0,0,0,83.1583
311,312,1,1,female,18.0,2,2,262.375
312,313,0,2,female,26.0,1,1,26.0
313,314,0,3,male,28.0,0,0,7.8958
314,315,0,2,male,43.0,1,1,26.25
315,316,1,3,female,26.0,0,0,7.8542
316,317,1,2,female,24.0,1,0,26.0
317,318,0,2,male,54.0,0,0,14.0
318,319,1,1,female,31.0,0,2,164.8667
319,320,1,1,female,40.0,1,1,134.5
320,321,0,3,male,22.0,0,0,7.25
321,322,0,3,male,27.0,0,0,7.8958
322,323,1,2,female,30.0,0,0,12.35
323,324,1,2,female,22.0,1,1,29.0
324,325,0,3,male,,8,2,69.55
325,326,1,1,female,36.0,0,0,135.6333
326,327,0,3,male,61.0,0,0,6.2375
327,328,1,2,female,36.0,0,0,13.0
328,329,1,3,female,31.0,1,1,20.525
329,330,1,1,female,16.0,0,1,57.9792
330,331,1,3,female,,2,0,23.25
331,332,0,1,male,45.5,0,0,28.5
332,333,0,1,male,38.0,0,1,153.4625
333,334,0,3,male,16.0,2,0,18.0
334,335,1,1,female,,1,0,133.65
335,336,0,3,male,,0,0,7.8958
336,337,0,1,male,29.0,1,0,66.6
337,338,1,1,female,41.0,0,0,134.5
338,339,1,3,male,45.0,0,0,8.05
339,340,0,1,male,45.0,0,0,35.5
340,341,1,2,male,2.0,1,1,26.0
341,342,1,1,female,24.0,3,2,263.0
342,343,0,2,male,28.0,0,0,13.0
343,344,0,2,male,25.0,0,0,13.0
344,345,0,2,male,36.0,0,0,13.0
345,346,1,2,female,24.0,0,0,13.0
346,347,1,2,female,40.0,0,0,13.0
347,348,1,3,female,,1,0,16.1
348,349,1,3,male,3.0,1,1,15.9
349,350,0,3,male,42.0,0,0,8.6625
350,351,0,3,male,23.0,0,0,9.225
351,352,0,1,male,,0,0,35.0
352,353,0,3,male,15.0,1,1,7.2292
353,354,0,3,male,25.0,1,0,17.8
354,355,0,3,male,,0,0,7.225
355,356,0,3,male,28.0,0,0,9.5
356,357,1,1,female,22.0,0,1,55.0
357,358,0,2,female,38.0,0,0,13.0
358,359,1,3,female,,0,0,7.8792
359,360,1,3,female,,0,0,7.8792
360,361,0,3,male,40.0,1,4,27.9
361,362,0,2,male,29.0,1,0,27.7208
362,363,0,3,female,45.0,0,1,14.4542
363,364,0,3,male,35.0,0,0,7.05
364,365,0,3,male,,1,0,15.5
365,366,0,3,male,30.0,0,0,7.25
366,367,1,1,female,60.0,1,0,75.25
367,368,1,3,female,,0,0,7.2292
368,369,1,3,female,,0,0,7.75
369,370,1,1,female,24.0,0,0,69.3
370,371,1,1,male,25.0,1,0,55.4417
371,372,0,3,male,18.0,1,0,6.4958
372,373,0,3,male,19.0,0,0,8.05
373,374,0,1,male,22.0,0,0,135.6333
374,375,0,3,female,3.0,3,1,21.075
375,376,1,1,female,,1,0,82.1708
376,377,1,3,female,22.0,0,0,7.25
377,378,0,1,male,27.0,0,2,211.5
378,379,0,3,male,20.0,0,0,4.0125
379,380,0,3,male,19.0,0,0,7.775
380,381,1,1,female,42.0,0,0,227.525
381,382,1,3,female,1.0,0,2,15.7417
382,383,0,3,male,32.0,0,0,7.925
383,384,1,1,female,35.0,1,0,52.0
384,385,0,3,male,,0,0,7.8958
385,386,0,2,male,18.0,0,0,73.5
386,387,0,3,male,1.0,5,2,46.9
387,388,1,2,female,36.0,0,0,13.0
388,389,0,3,male,,0,0,7.7292
389,390,1,2,female,17.0,0,0,12.0
390,391,1,1,male,36.0,1,2,120.0
391,392,1,3,male,21.0,0,0,7.7958
392,393,0,3,male,28.0,2,0,7.925
393,394,1,1,female,23.0,1,0,113.275
394,395,1,3,female,24.0,0,2,16.7
395,396,0,3,male,22.0,0,0,7.7958
396,397,0,3,female,31.0,0,0,7.8542
397,398,0,2,male,46.0,0,0,26.0
398,399,0,2,male,23.0,0,0,10.5
399,400,1,2,female,28.0,0,0,12.65
400,401,1,3,male,39.0,0,0,7.925
401,402,0,3,male,26.0,0,0,8.05
402,403,0,3,female,21.0,1,0,9.825
403,404,0,3,male,28.0,1,0,15.85
404,405,0,3,female,20.0,0,0,8.6625
405,406,0,2,male,34.0,1,0,21.0
406,407,0,3,male,51.0,0,0,7.75
407,408,1,2,male,3.0,1,1,18.75
408,409,0,3,male,21.0,0,0,7.775
409,410,0,3,female,,3,1,25.4667
410,411,0,3,male,,0,0,7.8958
411,412,0,3,male,,0,0,6.8583
412,413,1,1,female,33.0,1,0,90.0
413,414,0,2,male,,0,0,0.0
414,415,1,3,male,44.0,0,0,7.925
415,416,0,3,female,,0,0,8.05
416,417,1,2,female,34.0,1,1,32.5
417,418,1,2,female,18.0,0,2,13.0
418,419,0,2,male,30.0,0,0,13.0
419,420,0,3,female,10.0,0,2,24.15
420,421,0,3,male,,0,0,7.8958
421,422,0,3,male,21.0,0,0,7.7333
422,423,0,3,male,29.0,0,0,7.875
423,424,0,3,female,28.0,1,1,14.4
424,425,0,3,male,18.0,1,1,20.2125
425,426,0,3,male,,0,0,7.25
426,427,1,2,female,28.0,1,0,26.0
427,428,1,2,female,19.0,0,0,26.0
428,429,0,3,male,,0,0,7.75
429,430,1,3,male,32.0,0,0,8.05
430,431,1,1,male,28.0,0,0,26.55
431,432,1,3,female,,1,0,16.1
432,433,1,2,female,42.0,1,0,26.0
433,434,0,3,male,17.0,0,0,7.125
434,435,0,1,male,50.0,1,0,55.9
435,436,1,1,female,14.0,1,2,120.0
436,437,0,3,female,21.0,2,2,34.375
437,438,1,2,female,24.0,2,3,18.75
438,439,0,1,male,64.0,1,4,263.0
439,440,0,2,male,31.0,0,0,10.5
440,441,1,2,female,45.0,1,1,26.25
441,442,0,3,male,20.0,0,0,9.5
442,443,0,3,male,25.0,1,0,7.775
443,444,1,2,female,28.0,0,0,13.0
444,445,1,3,male,,0,0,8.1125
445,446,1,1,male,4.0,0,2,81.8583
446,447,1,2,female,13.0,0,1,19.5
447,448,1,1,male,34.0,0,0,26.55
448,449,1,3,female,5.0,2,1,19.2583
449,450,1,1,male,52.0,0,0,30.5
450,451,0,2,male,36.0,1,2,27.75
451,452,0,3,male,,1,0,19.9667
452,453,0,1,male,30.0,0,0,27.75
453,454,1,1,male,49.0,1,0,89.1042
454,455,0,3,male,,0,0,8.05
455,456,1,3,male,29.0,0,0,7.8958
456,457,0,1,male,65.0,0,0,26.55
457,458,1,1,female,,1,0,51.8625
458,459,1,2,female,50.0,0,0,10.5
459,460,0,3,male,,0,0,7.75
460,461,1,1,male,48.0,0,0,26.55
461,462,0,3,male,34.0,0,0,8.05
462,463,0,1,male,47.0,0,0,38.5
463,464,0,2,male,48.0,0,0,13.0
464,465,0,3,male,,0,0,8.05
465,466,0,3,male,38.0,0,0,7.05
466,467,0,2,male,,0,0,0.0
467,468,0,1,male,56.0,0,0,26.55
468,469,0,3,male,,0,0,7.725
469,470,1,3,female,0.75,2,1,19.2583
470,471,0,3,male,,0,0,7.25
471,472,0,3,male,38.0,0,0,8.6625
472,473,1,2,female,33.0,1,2,27.75
473,474,1,2,female,23.0,0,0,13.7917
474,475,0,3,female,22.0,0,0,9.8375
475,476,0,1,male,,0,0,52.0
476,477,0,2,male,34.0,1,0,21.0
477,478,0,3,male,29.0,1,0,7.0458
478,479,0,3,male,22.0,0,0,7.5208
479,480,1,3,female,2.0,0,1,12.2875
480,481,0,3,male,9.0,5,2,46.9
481,482,0,2,male,,0,0,0.0
482,483,0,3,male,50.0,0,0,8.05
483,484,1,3,female,63.0,0,0,9.5875
484,485,1,1,male,25.0,1,0,91.0792
485,486,0,3,female,,3,1,25.4667
486,487,1,1,female,35.0,1,0,90.0
487,488,0,1,male,58.0,0,0,29.7
488,489,0,3,male,30.0,0,0,8.05
489,490,1,3,male,9.0,1,1,15.9
490,491,0,3,male,,1,0,19.9667
491,492,0,3,male,21.0,0,0,7.25
492,493,0,1,male,55.0,0,0,30.5
493,494,0,1,male,71.0,0,0,49.5042
494,495,0,3,male,21.0,0,0,8.05
495,496,0,3,male,,0,0,14.4583
496,497,1,1,female,54.0,1,0,78.2667
497,498,0,3,male,,0,0,15.1
498,499,0,1,female,25.0,1,2,151.55
499,500,0,3,male,24.0,0,0,7.7958
500,501,0,3,male,17.0,0,0,8.6625
501,502,0,3,female,21.0,0,0,7.75
502,503,0,3,female,,0,0,7.6292
503,504,0,3,female,37.0,0,0,9.5875
504,505,1,1,female,16.0,0,0,86.5
505,506,0,1,male,18.0,1,0,108.9
506,507,1,2,female,33.0,0,2,26.0
507,508,1,1,male,,0,0,26.55
508,509,0,3,male,28.0,0,0,22.525
509,510,1,3,male,26.0,0,0,56.4958
510,511,1,3,male,29.0,0,0,7.75
511,512,0,3,male,,0,0,8.05
512,513,1,1,male,36.0,0,0,26.2875
513,514,1,1,female,54.0,1,0,59.4
514,515,0,3,male,24.0,0,0,7.4958
515,516,0,1,male,47.0,0,0,34.0208
516,517,1,2,female,34.0,0,0,10.5
517,518,0,3,male,,0,0,24.15
518,519,1,2,female,36.0,1,0,26.0
519,520,0,3,male,32.0,0,0,7.8958
520,521,1,1,female,30.0,0,0,93.5
521,522,0,3,male,22.0,0,0,7.8958
522,523,0,3,male,,0,0,7.225
523,524,1,1,female,44.0,0,1,57.9792
524,525,0,3,male,,0,0,7.2292
525,526,0,3,male,40.5,0,0,7.75
526,527,1,2,female,50.0,0,0,10.5
527,528,0,1,male,,0,0,221.7792
528,529,0,3,male,39.0,0,0,7.925
529,530,0,2,male,23.0,2,1,11.5
530,531,1,2,female,2.0,1,1,26.0
531,532,0,3,male,,0,0,7.2292
532,533,0,3,male,17.0,1,1,7.2292
533,534,1,3,female,,0,2,22.3583
534,535,0,3,female,30.0,0,0,8.6625
535,536,1,2,female,7.0,0,2,26.25
536,537,0,1,male,45.0,0,0,26.55
537,538,1,1,female,30.0,0,0,106.425
538,539,0,3,male,,0,0,14.5
539,540,1,1,female,22.0,0,2,49.5
540,541,1,1,female,36.0,0,2,71.0
541,542,0,3,female,9.0,4,2,31.275
542,543,0,3,female,11.0,4,2,31.275
543,544,1,2,male,32.0,1,0,26.0
544,545,0,1,male,50.0,1,0,106.425
545,546,0,1,male,64.0,0,0,26.0
546,547,1,2,female,19.0,1,0,26.0
547,548,1,2,male,,0,0,13.8625
548,549,0,3,male,33.0,1,1,20.525
549,550,1,2,male,8.0,1,1,36.75
550,551,1,1,male,17.0,0,2,110.8833
551,552,0,2,male,27.0,0,0,26.0
552,553,0,3,male,,0,0,7.8292
553,554,1,3,male,22.0,0,0,7.225
554,555,1,3,female,22.0,0,0,7.775
555,556,0,1,male,62.0,0,0,26.55
556,557,1,1,female,48.0,1,0,39.6
557,558,0,1,male,,0,0,227.525
558,559,1,1,female,39.0,1,1,79.65
559,560,1,3,female,36.0,1,0,17.4
560,561,0,3,male,,0,0,7.75
561,562,0,3,male,40.0,0,0,7.8958
562,563,0,2,male,28.0,0,0,13.5
563,564,0,3,male,,0,0,8.05
564,565,0,3,female,,0,0,8.05
565,566,0,3,male,24.0,2,0,24.15
566,567,0,3,male,19.0,0,0,7.8958
567,568,0,3,female,29.0,0,4,21.075
568,569,0,3,male,,0,0,7.2292
569,570,1,3,male,32.0,0,0,7.8542
570,571,1,2,male,62.0,0,0,10.5
571,572,1,1,female,53.0,2,0,51.4792
572,573,1,1,male,36.0,0,0,26.3875
573,574,1,3,female,,0,0,7.75
574,575,0,3,male,16.0,0,0,8.05
575,576,0,3,male,19.0,0,0,14.5
576,577,1,2,female,34.0,0,0,13.0
577,578,1,1,female,39.0,1,0,55.9
578,579,0,3,female,,1,0,14.4583
579,580,1,3,male,32.0,0,0,7.925
580,581,1,2,female,25.0,1,1,30.0
581,582,1,1,female,39.0,1,1,110.8833
582,583,0,2,male,54.0,0,0,26.0
583,584,0,1,male,36.0,0,0,40.125
584,585,0,3,male,,0,0,8.7125
585,586,1,1,female,18.0,0,2,79.65
586,587,0,2,male,47.0,0,0,15.0
587,588,1,1,male,60.0,1,1,79.2
588,589,0,3,male,22.0,0,0,8.05
589,590,0,3,male,,0,0,8.05
590,591,0,3,male,35.0,0,0,7.125
591,592,1,1,female,52.0,1,0,78.2667
592,593,0,3,male,47.0,0,0,7.25
593,594,0,3,female,,0,2,7.75
594,595,0,2,male,37.0,1,0,26.0
595,596,0,3,male,36.0,1,1,24.15
596,597,1,2,female,,0,0,33.0
597,598,0,3,male,49.0,0,0,0.0
598,599,0,3,male,,0,0,7.225
599,600,1,1,male,49.0,1,0,56.9292
600,601,1,2,female,24.0,2,1,27.0
601,602,0,3,male,,0,0,7.8958
602,603,0,1,male,,0,0,42.4
603,604,0,3,male,44.0,0,0,8.05
604,605,1,1,male,35.0,0,0,26.55
605,606,0,3,male,36.0,1,0,15.55
606,607,0,3,male,30.0,0,0,7.8958
607,608,1,1,male,27.0,0,0,30.5
608,609,1,2,female,22.0,1,2,41.5792
609,610,1,1,female,40.0,0,0,153.4625
610,611,0,3,female,39.0,1,5,31.275
611,612,0,3,male,,0,0,7.05
612,613,1,3,female,,1,0,15.5
613,614,0,3,male,,0,0,7.75
614,615,0,3,male,35.0,0,0,8.05
615,616,1,2,female,24.0,1,2,65.0
616,617,0,3,male,34.0,1,1,14.4
617,618,0,3,female,26.0,1,0,16.1
618,619,1,2,female,4.0,2,1,39.0
619,620,0,2,male,26.0,0,0,10.5
620,621,0,3,male,27.0,1,0,14.4542
621,622,1,1,male,42.0,1,0,52.5542
622,623,1,3,male,20.0,1,1,15.7417
623,624,0,3,male,21.0,0,0,7.8542
624,625,0,3,male,21.0,0,0,16.1
625,626,0,1,male,61.0,0,0,32.3208
626,627,0,2,male,57.0,0,0,12.35
627,628,1,1,female,21.0,0,0,77.9583
628,629,0,3,male,26.0,0,0,7.8958
629,630,0,3,male,,0,0,7.7333
630,631,1,1,male,80.0,0,0,30.0
631,632,0,3,male,51.0,0,0,7.0542
632,633,1,1,male,32.0,0,0,30.5
633,634,0,1,male,,0,0,0.0
634,635,0,3,female,9.0,3,2,27.9
635,636,1,2,female,28.0,0,0,13.0
636,637,0,3,male,32.0,0,0,7.925
